gender,,Time_spend,feel,,felt_left,avoid,affect,amount,pressure,experience,worry,MentalStressLevel,distracted,others,share,Anxious,Follow,interact,impact
Male,,1-2 hours a day,Depressed or sad,,Often,Never,It doesn't affect my sleep,I feel I spend too much time,Often,Never,Often,normal,Often,Depressed,Rarely or never,Sometimes,Never,Never,Never
Other,,3-4 hours a day,Happy and relaxed,,Often,Sometimes,It slightly affects my sleep,I feel I could reduce it a bit,Often,Sometimes,Rarely,high,Often,Motivated,Often,Sometimes,Often,Never,Sometimes
Other,,Less than 1 hour a day,Anxious or stressed,,Never,Never,It moderately affects my sleep,I feel I spend too much time,Sometimes,Sometimes,Sometimes,normal,Rarely,Jealous,Often,Sometimes,Sometimes,Never,Never
Male,,1-2 hours a day,Neutral,,Sometimes,Never,It moderately affects my sleep,I feel I could reduce it a bit,Often,Often,Never,high,Occasionally,Depressed,Always,Sometimes,Often,Rarely,Sometimes
Other,,More than 4 hours a day,Anxious or stressed,,Sometimes,Never,It moderately affects my sleep,I feel I spend too much time,Sometimes,Sometimes,Sometimes,high,Often,Jealous,Rarely or never,Never,Rarely,Never,Often
Male,,3-4 hours a day,Anxious or stressed,,Never,Rarely,It slightly affects my sleep,I feel I could reduce it a bit,Never,Never,Never,normal,Occasionally,Indifferent,Always,Rarely,Often,Often,Rarely
Female,,More than 4 hours a day,Happy and relaxed,,Rarely,Sometimes,It slightly affects my sleep,I feel I could reduce it a bit,Often,Often,Rarely,normal,Often,Depressed,Rarely or never,Often,Often,Often,Often
Female,,3-4 hours a day,Neutral,,Never,Never,It moderately affects my sleep,I feel it's out of control,Never,Often,Never,high,Often,Jealous,Sometimes,Rarely,Rarely,Rarely,Sometimes
Male,,1-2 hours a day,Depressed or sad,,Often,Rarely,It significantly affects my sleep,I feel I could reduce it a bit,Often,Rarely,Sometimes,moderate,Often,Motivated,Rarely or never,Never,Sometimes,Sometimes,Often
Other,,More than 4 hours a day,Neutral,,Sometimes,Sometimes,It doesn't affect my sleep,I feel I could reduce it a bit,Rarely,Never,Sometimes,high,Rarely,Indifferent,Rarely or never,Often,Never,Rarely,Sometimes
Other,,Less than 1 hour a day,Anxious or stressed,,Often,Sometimes,It doesn't affect my sleep,I feel I spend too much time,Often,Sometimes,Never,moderate,Occasionally,Depressed,Always,Often,Sometimes,Never,Sometimes
Male,,1-2 hours a day,Neutral,,Often,Rarely,It doesn't affect my sleep,I'm satisfied,Never,Rarely,Sometimes,moderate,Often,Indifferent,Always,Rarely,Rarely,Often,Often
Male,,More than 4 hours a day,Neutral,,Never,Never,It moderately affects my sleep,I feel I could reduce it a bit,Never,Never,Often,normal,Very often,Motivated,Rarely or never,Sometimes,Often,Sometimes,Never
Male,,More than 4 hours a day,Anxious or stressed,,Rarely,Sometimes,It significantly affects my sleep,I feel it's out of control,Never,Never,Often,normal,Often,Motivated,Often,Often,Often,Rarely,Often
Female,,1-2 hours a day,Happy and relaxed,,Sometimes,Sometimes,It slightly affects my sleep,I feel I could reduce it a bit,Often,Often,Sometimes,normal,Occasionally,Indifferent,Always,Rarely,Never,Rarely,Sometimes
Male,,Less than 1 hour a day,Happy and relaxed,,Never,Never,It slightly affects my sleep,I'm satisfied,Rarely,Never,Sometimes,moderate,Often,Depressed,Always,Rarely,Sometimes,Sometimes,Rarely
Male,,Less than 1 hour a day,Happy and relaxed,,Rarely,Rarely,It moderately affects my sleep,I feel I spend too much time,Often,Rarely,Often,moderate,Very often,Motivated,Often,Often,Never,Rarely,Often
Other,,1-2 hours a day,Neutral,,Rarely,Never,It moderately affects my sleep,I feel I spend too much time,Rarely,Sometimes,Often,normal,Rarely,Depressed,Always,Rarely,Sometimes,Often,Sometimes
Male,,More than 4 hours a day,Anxious or stressed,,Rarely,Never,It significantly affects my sleep,I feel I spend too much time,Rarely,Rarely,Rarely,high,Often,Indifferent,Often,Sometimes,Sometimes,Never,Sometimes
Female,,3-4 hours a day,Neutral,,Never,Sometimes,It slightly affects my sleep,I feel I spend too much time,Never,Often,Rarely,high,Rarely,Jealous,Always,Often,Often,Rarely,Sometimes
Male,,3-4 hours a day,Neutral,,Often,Never,It slightly affects my sleep,I feel I spend too much time,Never,Sometimes,Often,moderate,Often,Motivated,Always,Rarely,Never,Often,Sometimes
Other,,More than 4 hours a day,Happy and relaxed,,Sometimes,Sometimes,It significantly affects my sleep,I'm satisfied,Sometimes,Often,Often,normal,Occasionally,Depressed,Rarely or never,Sometimes,Often,Often,Never
Female,,3-4 hours a day,Anxious or stressed,,Rarely,Often,It slightly affects my sleep,I feel it's out of control,Often,Sometimes,Rarely,high,Very often,Indifferent,Sometimes,Sometimes,Rarely,Rarely,Often
